DO;PRODUIT; HT ; TAX ; TTC ;TYPE_VENTE;CHANNEL
Bechar;PSTN;15 559,95;2 952,65;18 512,60;Divers;9
Bechar;PSTN;56 373,87;10 711,13;67 085,00;Prestation de services PSTN;9
Bechar;VOIP;10 444,10;1 984,40;12 428,50;Prestation de services VOIP;9
Bejaia;ADSL;32 055 591,80; -   ;32 055 591,80;recharge via agence;Agence
Bejaia;ADSL;4 660 260,89; -   ;4 660 260,89;Recharge via Carte Credit& Application;ATPOST
Bejaia;ADSL;2 691 421,30; -   ;2 691 421,30;recharge via eSpace Client;eSpace Client
Bejaia;ADSL;84,15; -   ;84,15;Rechargement et paiement factures via le canal PayShopDjeazy;PayShopDjeazy
Bejaia;ADSL;667 686,60; -   ;667 686,60;Rechargement via espace Actel;ActelEspace
Bejaia;ADSL;30 285 927,86;1 946,14;30 287 874,00;Ventes et recharges ADSL;9
Bejaia;Divers;8 725,00;1 657,75;10 382,75;ventes accessoires;9
Bejaia;DV;906 209,00; -   ;906 209,00;Divers;9
Bejaia;FTTx;53 857,13;10 232,87;64 090,00;Modem;9
Bejaia;FTTx;6 304,20;1 197,80;7 502,00;Prestation de services FTTX;9
Bejaia;FTTx;4 200,00;798;4 998,00;Prestation de services FTTx;9
Bejaia;FTTx;10 969 507,78; -   ;10 969 507,78;recharge via agence;Agence
Bejaia;FTTx;1 508 685,46; -   ;1 508 685,46;Recharge via Carte Credit& Application;ATPOST
Bejaia;FTTx;1 236 821,00; -   ;1 236 821,00;recharge via eSpace Client;eSpace Client
Bejaia;FTTx;260 857,85; -   ;260 857,85;Rechargement via espace Actel;ActelEspace
Bejaia;FTTx;26 538,36;266,64;26 805,00;Ventes et Recharges FTTX;9
Bejaia;LTE;534,19;101,5;635,68;Modem;9
Bejaia;LTE;3 408,97;646,11;4 055,08;Prestation de services LTE 4G;9
Bejaia;LTE;966 390,00; -   ;966 390,00;Recharge via Carte Credit& Application;ATPOST
Bejaia;LTE;509 285,00; -   ;509 285,00;recharge via eSpace Client;eSpace Client
Bejaia;LTE;766 212,50; -   ;766 212,50;Rechargement via espace Actel;ActelEspace
Bejaia;LTE;8 919 086,50; -   ;8 919 086,50;Recharges 4G;9
Bejaia;LTE;1 092 398,30; -   ;1 092 398,30;Ventes et Recharges LTE 4G;9
Bejaia;Modem;534,19;101,5;635,68;Divers;9
Bejaia;Modem;19 651,26;3 733,74;23 385,00;Modem;9
Bejaia;PSTN;33 244,18;6 316,52;39 560,70;Divers;9
Bejaia;PSTN;180 832,86;34 358,57;215 191,43;Prestation de services PSTN;9
Bejaia;VOIP;36 434,93;6 903,72;43 338,65;Prestation de services VOIP;9
Beni Abbes;ADSL;100; -   ;100;Recharge ADSL;9
Beni Abbes;ADSL;755 403,60; -   ;755 403,60;recharge via agence;Agence
Beni Abbes;ADSL;373 025,85; -   ;373 025,85;Recharge via Carte Credit& Application;ATPOST
Beni Abbes;ADSL;121 867,30; -   ;121 867,30;recharge via eSpace Client;eSpace Client
Beni Abbes;ADSL;173 961,60; -   ;173 961,60;Rechargement via espace Actel;ActelEspace
Beni Abbes;ADSL;79 567,00; -   ;79 567,00;Ventes et recharges ADSL;9
Beni Abbes;Divers;4 176,47;793,53;4 970,00;ventes accessoires;9
Beni Abbes;DV;84 396,50; -   ;84 396,50;Divers;9
Beni Abbes;FTTx;38 558,82;7 326,18;45 885,00;Modem;9
Beni Abbes;FTTx;252,94;48,06;301;Prestation de services FTTX;9
Beni Abbes;FTTx;4 200,00;798;4 998,00;Prestation de services FTTx;9
Beni Abbes;FTTx;949 567,95; -   ;949 567,95;recharge via agence;Agence
Beni Abbes;FTTx;353 216,40; -   ;353 216,40;Recharge via Carte Credit& Application;ATPOST
Beni Abbes;FTTx;128 244,25; -   ;128 244,25;recharge via eSpace Client;eSpace Client
Beni Abbes;FTTx;252 333,60; -   ;252 333,60;Rechargement via espace Actel;ActelEspace
Beni Abbes;FTTx;5 485,00; -   ;5 485,00;Ventes et Recharges FTTX;9
Beni Abbes;LTE;169,66;32,24;201,89;Prestation de services LTE 4G;9
Beni Abbes;LTE;394 700,00; -   ;394 700,00;Recharge via Carte Credit& Application;ATPOST
Beni Abbes;LTE;75 940,00; -   ;75 940,00;recharge via eSpace Client;eSpace Client
Beni Abbes;LTE;228 425,00; -   ;228 425,00;Rechargement via espace Actel;ActelEspace
Beni Abbes;LTE;63 308,00; -   ;63 308,00;Recharges 4G;9
Beni Abbes;LTE;177 570,80; -   ;177 570,80;Ventes et Recharges LTE 4G;9
Beni Abbes;PSTN;4 605,70;875,1;5 480,80;Divers;9
Beni Abbes;PSTN;11 883,39;2 257,86;14 141,25;Prestation de services PSTN;9
Beni Abbes;VOIP;16 415,49;3 118,96;19 534,45;Prestation de services VOIP;9
Biskra;ADSL;42,86;8,14;51;Prestation de services ADSL;9
Biskra;ADSL;7 557 787,50; -   ;7 557 787,50;Recharge ADSL;9
Biskra;ADSL;21 044 860,85; -   ;21 044 860,85;recharge via agence;Agence
Biskra;ADSL;4 404 653,58; -   ;4 404 653,58;Recharge via Carte Credit& Application;ATPOST
Biskra;ADSL;1 443 259,10; -   ;1 443 259,10;recharge via eSpace Client;eSpace Client
Biskra;ADSL;246 124,10; -   ;246 124,10;Rechargement via espace Actel;ActelEspace
Biskra;ADSL;6 763 515,75;752,4;6 764 268,15;Ventes et recharges ADSL;9
Biskra;Divers;525;99,75;624,75;ventes accessoires;9
Biskra;DV;347 395,00; -   ;347 395,00;Divers;9
Biskra;FTTx;2 568,70;488,05;3 056,75;Prestation de services FTTX;9
Biskra;FTTx;392,44;74,56;467;Prestation de services FTTx;9
Biskra;FTTx;5 810 200,98; -   ;5 810 200,98;recharge via agence;Agence
Biskra;FTTx;1 613 594,98; -   ;1 613 594,98;Recharge via Carte Credit& Application;ATPOST
Biskra;FTTx;606 001,05; -   ;606 001,05;recharge via eSpace Client;eSpace Client
