DO;PRODUIT; HT ; TAX ; TTC ; DISCOUNT 
Alger_Est;Specialized Line; 198 205,95 ; 31 655,13 ; 229 861,08 ; -   
Touggourt;VOIP; 7 525 781,11 ; 1 083 058,25 ; 8 608 839,36 ; -   
Oran;VOIP; 3 148 372,24 ; 110 912,93 ; 3 259 285,17 ; -   
Boumerdes;Specialized Line; 548 347,58 ; 53 471,24 ; 601 818,81 ; -   
Ain_Defla;VOIP; 560,36 ; 9,50 ; 569,86 ; -   
Bechar;LTE; 27 330,10 ; 4 964,72 ; 32 294,82 ; -   
In Salah;VOIP; 281 495,00 ; 50 349,05 ; 331 844,05 ; -   
Boumerdes;PSTN; 25,00 ; -   ; 25,00 ; -   
Bejaia;VOIP; 451 560,00 ; 30 696,40 ; 482 256,40 ; -   
Naama;PSTN; -   ; -   ; -   ; 21 250,12 
Chlef;VOIP; 2 723 105,31 ; 211 471,18 ; 2 934 576,49 ; -   
Annaba;Specialized Line; 455 900,00 ; 35 321,00 ; 491 221,00 ; -   
Beni Abbes;PSTN; 150,00 ; -   ; 150,00 ; 530,37 
Timimoune;VOIP; 50,00 ; 9,50 ; 59,50 ; -   
Tissemsilt;VOIP; 621 767,00 ; 118 135,73 ; 739 902,73 ; -   
El Meghaier;Specialized Line; 50,00 ; -   ; 50,00 ; -   
Bejaia;X25; 665 990,00 ; 91 407,10 ; 757 397,10 ; -   
Relizane;PSTN; 396 309,00 ; 41 307,71 ; 437 616,71 ; -   
Annaba;PSTN; -   ; -   ; -   ; 6 750,39 
Blida;Specialized Line; 60 155,00 ; 9 548,45 ; 69 703,45 ; -   
Illizi;PSTN; 207 180,00 ; 39 364,20 ; 246 544,20 ; -   
Relizane;Specialized Line; 10 299,26 ; -   ; 10 299,26 ; -   
Jijel;VOIP; 837 260,00 ; 109 679,40 ; 946 939,40 ; -   
Bechar;PSTN; 715 713,65 ; 32 017,59 ; 747 731,24 ; -   
Mila;Specialized Line; 233 106,62 ; 27 190,26 ; 260 296,87 ; -   
Mascara;PSTN; 548 606,62 ; 37 735,26 ; 586 341,87 ; -   
Jijel;PSTN; 373 967,30 ; 47 873,79 ; 421 841,09 ; -   
Skikda;Specialized Line; 608 134,81 ; 37 645,61 ; 645 780,42 ; -   
Illizi;Specialized Line; 193 340,00 ; 18 190,60 ; 211 530,60 ; -   
Siege;LTE; 368 165,00 ; 20 551,35 ; 388 716,35 ; -   
Beni Abbes;Specialized Line; 25,00 ; -   ; 25,00 ; -   
Annaba;LTE; -   ; -   ; -   ; 35 853,80 
Tindouf;VOIP; 584 031,35 ; 53 965,96 ; 637 997,31 ; -   
Constantine;LTE; 334 929,45 ; 61 432,60 ; 396 362,05 ; -   
Touggourt;LTE; 300 185,05 ; 28 535,16 ; 328 720,20 ; -   
